domain,domain_name,split,rows,users,duplicate_rows_per_user,seq_len_mean,seq_len_median,seq_len_p25,seq_len_p75,seq_len_p90,time_seq_coverage,target_time_coverage,time_item_len_match_rate,time_monotonic_rate
dom1,dom1,train,40055,40055,0,11.815753339158658,6.0,3.0,13.0,29.0,0.0,0.0,,
dom1,dom1,valid,7437,7437,0,21.375823584778807,11.0,5.0,28.0,61.0,0.0,0.0,,
dom1,dom1,test,6073,6073,0,21.735386135353203,11.0,5.0,27.0,62.0,0.0,0.0,,
dom2,dom2,train,40075,40075,0,11.041621958827198,7.0,4.0,14.0,25.0,0.0,0.0,,
dom2,dom2,valid,9685,9685,0,15.091791430046463,10.0,5.0,19.0,34.0,0.0,0.0,,
dom2,dom2,test,9416,9416,0,15.210811384876806,10.0,5.0,19.0,34.0,0.0,0.0,,
dom3,dom3,train,39880,39880,0,7.406820461384153,5.0,3.0,9.0,16.0,0.0,0.0,,
dom3,dom3,valid,10073,10073,0,9.793110294847612,6.0,3.0,12.0,22.0,0.0,0.0,,
dom3,dom3,test,10185,10185,0,9.947962690230732,7.0,4.0,12.0,22.0,0.0,0.0,,
dom4,dom4,train,39403,39403,0,6.689947465928991,4.0,2.0,8.0,15.0,0.0,0.0,,
dom4,dom4,valid,12970,12970,0,8.002313030069391,5.0,3.0,10.0,17.0,0.0,0.0,,
dom4,dom4,test,14491,14491,0,8.444965840866745,6.0,3.0,10.0,18.0,0.0,0.0,,
