user_id,dom1_present,dom1_seq_len,dom1_target_time,dom1_last_history_time,dom2_present,dom2_seq_len,dom2_target_time,dom2_last_history_time,dom3_present,dom3_seq_len,dom3_target_time,dom3_last_history_time,dom4_present,dom4_seq_len,dom4_target_time,dom4_last_history_time,n_domains_present
1,1,4,,,1,7,,,1,2,,,1,9,,,4
10,1,6,,,1,5,,,1,3,,,1,6,,,4
100,1,2,,,1,7,,,1,5,,,1,10,,,4
1000,1,29,,,1,24,,,1,12,,,1,28,,,4
10000,1,11,,,1,18,,,1,3,,,1,3,,,4
10001,1,11,,,1,3,,,1,6,,,1,2,,,4
10002,1,5,,,1,2,,,1,2,,,0,0,,,3
10003,1,10,,,1,7,,,1,11,,,1,2,,,4
10004,1,14,,,1,25,,,1,2,,,1,3,,,4
10005,1,3,,,1,4,,,1,8,,,1,13,,,4
10006,1,6,,,1,3,,,1,5,,,1,3,,,4
10007,1,3,,,1,20,,,1,4,,,1,7,,,4
10008,1,8,,,1,11,,,1,12,,,1,4,,,4
10009,1,2,,,1,2,,,1,5,,,1,14,,,4
1001,1,4,,,1,29,,,1,2,,,1,19,,,4
10010,1,1,,,1,2,,,1,10,,,1,5,,,4
10011,1,4,,,1,6,,,1,1,,,1,1,,,4
10012,1,6,,,1,7,,,1,5,,,1,3,,,4
10013,1,7,,,1,10,,,1,3,,,1,2,,,4
10014,1,1,,,1,6,,,1,2,,,1,6,,,4
10015,1,21,,,1,4,,,1,3,,,1,2,,,4
10016,1,2,,,1,23,,,1,3,,,1,2,,,4
10017,1,16,,,1,2,,,1,4,,,1,2,,,4
10018,1,4,,,1,17,,,1,8,,,1,3,,,4
10019,1,7,,,1,8,,,1,8,,,1,4,,,4
1002,1,62,,,1,9,,,1,1,,,1,5,,,4
10020,1,2,,,1,9,,,1,2,,,1,7,,,4
10021,1,87,,,1,2,,,1,4,,,1,4,,,4
10022,1,5,,,1,7,,,1,22,,,1,16,,,4
10023,1,9,,,1,13,,,1,1,,,1,3,,,4
10024,1,4,,,1,11,,,1,3,,,1,8,,,4
10025,1,8,,,1,2,,,1,5,,,1,2,,,4
10026,1,9,,,1,37,,,1,40,,,1,24,,,4
10027,1,8,,,1,10,,,1,2,,,1,5,,,4
10028,1,2,,,1,24,,,1,15,,,1,29,,,4
10029,1,3,,,1,14,,,1,2,,,1,6,,,4
1003,1,5,,,1,2,,,1,8,,,1,3,,,4
10030,1,12,,,1,4,,,1,30,,,1,23,,,4
10031,1,4,,,1,4,,,1,5,,,1,3,,,4
10032,1,7,,,0,0,,,1,6,,,1,2,,,3
10033,1,6,,,1,17,,,1,10,,,1,2,,,4
10034,1,3,,,1,29,,,1,11,,,1,10,,,4
10035,1,2,,,1,2,,,1,2,,,1,3,,,4
10036,1,2,,,1,9,,,1,2,,,1,12,,,4
10037,1,2,,,1,9,,,1,3,,,1,7,,,4
10038,0,0,,,1,6,,,1,2,,,1,4,,,3
10039,1,28,,,1,26,,,1,5,,,1,7,,,4
1004,1,3,,,1,4,,,1,3,,,1,1,,,4
10040,1,2,,,1,10,,,1,7,,,1,1,,,4
10041,1,11,,,1,1,,,1,2,,,1,2,,,4
10042,1,83,,,1,13,,,1,5,,,1,3,,,4
10043,1,2,,,1,24,,,1,3,,,1,11,,,4
10044,1,9,,,1,13,,,1,3,,,1,15,,,4
10045,1,20,,,1,6,,,1,7,,,1,14,,,4
10046,1,2,,,1,2,,,1,6,,,1,8,,,4
10047,1,2,,,1,5,,,1,4,,,1,6,,,4
10048,1,4,,,1,2,,,1,4,,,1,2,,,4
10049,1,7,,,1,5,,,1,7,,,1,1,,,4
1005,1,12,,,1,5,,,1,7,,,1,5,,,4
10050,1,2,,,1,3,,,1,5,,,1,2,,,4
10051,1,4,,,1,45,,,1,6,,,1,16,,,4
10052,1,5,,,1,7,,,1,15,,,1,6,,,4
10053,1,84,,,1,21,,,1,9,,,1,3,,,4
10054,1,11,,,1,21,,,1,9,,,1,6,,,4
10055,1,1,,,1,2,,,1,3,,,1,9,,,4
10056,1,14,,,1,21,,,1,6,,,1,7,,,4
10057,1,81,,,1,18,,,1,8,,,1,6,,,4
10058,1,7,,,1,1,,,1,2,,,1,3,,,4
10059,1,7,,,1,6,,,1,9,,,1,4,,,4
1006,1,3,,,1,11,,,1,8,,,1,1,,,4
10060,1,2,,,1,31,,,1,2,,,1,2,,,4
10061,1,9,,,1,19,,,1,10,,,1,4,,,4
10062,1,4,,,1,3,,,1,19,,,1,6,,,4
10063,1,1,,,1,4,,,1,2,,,1,5,,,4
10064,1,11,,,1,12,,,1,7,,,1,13,,,4
10065,1,5,,,1,5,,,1,2,,,1,7,,,4
10066,1,7,,,1,2,,,1,4,,,1,1,,,4
10067,1,4,,,1,5,,,1,7,,,1,4,,,4
10068,1,4,,,1,12,,,1,8,,,1,1,,,4
10069,1,3,,,1,1,,,1,3,,,1,6,,,4
1007,1,8,,,1,7,,,1,6,,,1,1,,,4
10070,1,2,,,1,5,,,1,4,,,1,4,,,4
10071,1,4,,,1,4,,,1,2,,,1,2,,,4
10072,1,5,,,1,4,,,1,1,,,1,3,,,4
10073,1,13,,,1,2,,,1,2,,,1,25,,,4
10074,1,2,,,1,15,,,1,7,,,1,12,,,4
10075,1,3,,,1,6,,,1,3,,,1,7,,,4
10076,1,5,,,1,14,,,1,30,,,1,16,,,4
10077,1,7,,,1,6,,,1,2,,,1,4,,,4
10078,1,3,,,1,3,,,1,2,,,1,5,,,4
10079,1,16,,,1,12,,,1,4,,,1,4,,,4
1008,1,31,,,1,8,,,1,9,,,1,3,,,4
10080,1,3,,,1,12,,,1,11,,,1,2,,,4
10081,1,14,,,1,19,,,1,44,,,1,10,,,4
